"Datum,""Asset No."",""Username"",""Löschstatus"",""Berichts ID"",""Mobile IMEI"",""Firmenname"",""Logistic Date"",""Wirtschaftsstandort"",""Löschstandardname"",""System Hersteller"",""System Modell"",""System Seriennummer"",""Festplattenseriennummer"",""CPU Modell"",""Nominale CPU Frequenz"",""Kapazität des Speichers"",""Festplattenkapazität"",""Optisches Laufwerk Typ"",""System Gehäusetyp"",""Remappte Sektoren nach der Löschung des Löschziels"",""Remappte Sektoren der Platte"""
"2024-01-29 14:58:32,,,""Successful"",""67629"",,""R-IT"",""16.01.2024_1020"",""Wien"",""Blancco SSD Erasure - NVMe"",""HP"",""HP EliteBook 830 G5"",""5CG844243F"",""S425NE0K958814"",""Intel(R) Core(TM) i5-8350U CPU @ 1.70GHz"",""1700 MHz"",""8 GiB"",""256 GB"",,""Notebook"",,"
"2024-01-29 14:56:35,,,""Successful"",""67628"",,""R-IT"",""16.01.2024_1020"",""Wien"",""Blancco SSD Erasure - NVMe"",""HP"",""HP EliteBook 830 G5"",""5CG8442459"",""S425NE0K958740"",""Intel(R) Core(TM) i5-8350U CPU @ 1.70GHz"",""1700 MHz"",""8 GiB"",""256 GB"",,""Notebook"",,"
"2024-01-29 14:56:34,,,""Successful"",""67627"",,""R-IT"",""16.01.2024_1020"",""Wien"",""Blancco SSD Erasure - NVMe"",""HP"",""HP EliteBook 830 G5"",""5CG9154ZST"",""S425NX1M325385"",""Intel(R) Core(TM) i5-8350U CPU @ 1.70GHz"",""1700 MHz"",""8 GiB"",""256 GB"",,""Notebook"",,"
"2024-01-29 14:54:57,,,""Successful"",""67626"",,""R-IT"",""16.01.2024_1020"",""Wien"",""Blancco SSD Erasure - NVMe"",""HP"",""HP EliteBook 830 G5"",""5CG84810T2"",""S425NX0K953388"",""Intel(R) Core(TM) i5-8350U CPU @ 1.70GHz"",""1700 MHz"",""8 GiB"",""256 GB"",,""Notebook"",,"
"2024-01-29 14:54:55,,,""Successful"",""67625"",,""R-IT"",""16.01.2024_1020"",""Wien"",""Blancco SSD Erasure - NVMe"",""HP"",""HP EliteBook 830 G5"",""5CG84811HT"",""S425NX0K954360"",""Intel(R) Core(TM) i5-8350U CPU @ 1.70GHz"",""1700 MHz"",""8 GiB"",""256 GB"",,""Notebook"",,"
"2024-01-29 14:52:47,,,""Successful"",""67624"",,""R-IT"",""16.01.2024_1020"",""Wien"",""Blancco SSD Erasure - NVMe"",""HP"",""HP EliteBook 830 G5"",""5CG84422JX"",""S425NE0K958665"",""Intel(R) Core(TM) i5-8350U CPU @ 1.70GHz"",""1700 MHz"",""8 GiB"",""256 GB"",,""Notebook"",,"
"2024-01-29 14:52:46,,,""Successful"",""67623"",,""R-IT"",""16.01.2024_1020"",""Wien"",""Blancco SSD Erasure - NVMe"",""HP"",""HP EliteBook 830 G5"",""5CG83885HT"",""S425NE0K825181"",""Intel(R) Core(TM) i5-8350U CPU @ 1.70GHz"",""1700 MHz"",""8 GiB"",""256 GB"",,""Notebook"",,"
"2024-01-29 14:48:50,,,""Successful"",""67622"",,""R-IT"",""16.01.2024_1020"",""Wien"",""Blancco SSD Erasure - NVMe"",""HP"",""HP EliteBook 830 G5"",""5CG84810QV"",""S425NX0K953433"",""Intel(R) Core(TM) i5-8350U CPU @ 1.70GHz"",""1700 MHz"",""8 GiB/8 GiB"",""256 GB"",,""Notebook"",,"
"2024-01-29 14:46:41,,,""Successful"",""67621"",,""R-IT"",""16.01.2024_1020"",""Wien"",""Blancco SSD Erasure - NVMe"",""HP"",""HP EliteBook 830 G5"",""5CG82135YN"",""484B5324K5WS"",""Intel(R) Core(TM) i5-8350U CPU @ 1.70GHz"",""1700 MHz"",""8 GiB/8 GiB"",""256 GB"",,""Notebook"",,"
"2024-01-29 13:13:54,,,""Successful"",""67620"",,""R-IT"",""16.01.2024_1020"",""Wien"",""Blancco SSD Erasure - NVMe"",""HP"",""HP EliteBook 830 G5"",""5CG9093TCK"",""S425NX1M134140"",""Intel(R) Core(TM) i5-8350U CPU @ 1.70GHz"",""1700 MHz"",""8 GiB/8 GiB"",""256 GB"",,""Notebook"",,"
"2024-01-29 11:55:38,,,""Successful"",""67619"",,""R-IT"",""16.01.2024_1020"",""Wien"",""Blancco SSD Erasure - NVMe"",""HP"",""HP EliteBook 830 G5"",""5CG9090L8S"",""S425NA0M182157"",""Intel(R) Core(TM) i5-8350U CPU @ 1.70GHz"",""1700 MHz"",""8 GiB"",""256 GB"",,""Notebook"",,"
"2024-01-29 11:55:24,,,""Successful"",""67618"",,""R-IT"",""16.01.2024_1020"",""Wien"",""Blancco SSD Erasure - NVMe"",""HP"",""HP EliteBook 830 G5"",""5CG844235V"",""S425NE0K958895"",""Intel(R) Core(TM) i5-8350U CPU @ 1.70GHz"",""1700 MHz"",""8 GiB/8 GiB"",""256 GB"",,""Notebook"",,"
"2024-01-17 15:39:14,,,""Successful"",""67500"",,""R-IT"",""16.01.2024_1020"",""Wien"",""Blancco SSD Erasure - NVMe"",""HP"",""HP EliteBook 850 G5"",""5CG9072JL2"",""Z8IA83CHK5YS"",""Intel(R) Core(TM) i7-8650U CPU @ 1.90GHz"",""1900 MHz"",""16 GiB"",""512 GB"",,""Notebook"",,"
"2024-01-17 15:34:27,,,""Successful"",""67499"",,""R-IT"",""16.01.2024_1020"",""Wien"",""Blancco SSD Erasure - NVMe"",""HP"",""HP EliteBook 850 G5"",""5CG8455XKM"",""S3WTNA0K921048"",""Intel(R) Core(TM) i7-8650U CPU @ 1.90GHz"",""1900 MHz"",""16 GiB/16 GiB"",""512 GB"",,""Notebook"",,"
"2024-01-17 15:31:14,,,""Successful"",""67498"",,""R-IT"",""16.01.2024_1020"",""Wien"",""Blancco SSD Erasure - NVMe"",""HP"",""HP EliteBook 850 G5"",""5CG9127CT8"",""MJ92N00241140230L"",""Intel(R) Core(TM) i7-8650U CPU @ 1.90GHz"",""1900 MHz"",""16 GiB"",""512 GB"",,""Notebook"",,"
"2024-01-17 15:24:16,,,""Successful"",""67497"",,""R-IT"",""16.01.2024_1020"",""Wien"",""Blancco SSD Erasure - NVMe"",""HP"",""HP EliteBook 850 G5"",""5CG9156KC1"",""S3WTNX1M218951"",""Intel(R) Core(TM) i7-8650U CPU @ 1.90GHz"",""1900 MHz"",""16 GiB"",""512 GB"",,""Notebook"",,"
